Concept,Type,Relation,Link,Link Type,Concept ID,Concept Type ID,Relation ID,Link ID,Link Type ID,Wikipedia ID,Wikipedia URL,Wikipedia Title,Wikidata ID,Freebase ID,Freebcase MID
Aramaic Language,nytd_des,sameAs,Aramaic_language,wikipedia_raw_name,150,1,11,71125,1,2303,http://en.wikipedia.org/wiki/Aramaic_language,Aramaic language,,/en/aramaic_language,/m/0ycv
"Arbitration, Conciliation and Mediation",nytd_des,sameAs,Arbitration,wikipedia_raw_name,151,1,11,71126,1,6973884,http://en.wikipedia.org/wiki/Arbitration,Arbitration,,/en/arbitration,/m/0gzfqd
Archives and Records,nytd_des,sameAs,Archive,wikipedia_raw_name,155,1,11,71130,1,316723,http://en.wikipedia.org/wiki/Archive,Archive,,/en/archive,/m/01tygv
Arena Football,nytd_des,sameAs,Arena_football,wikipedia_raw_name,157,1,11,71132,1,232092,http://en.wikipedia.org/wiki/Arena_football,Arena football,,/en/arena_football,/m/01hrk6
Arlington Million (Horse Race),nytd_des,sameAs,Arlington_Million,wikipedia_raw_name,158,1,11,71133,1,3463712,http://en.wikipedia.org/wiki/Arlington_Million,Arlington Million,,/en/arlington_million,/m/09dvyq
Armenians,nytd_des,sameAs,Armenians,wikipedia_raw_name,160,1,11,71135,1,387816,http://en.wikipedia.org/wiki/Armenians,Armenians,,/en/armenians,/m/022fdt
Armor,nytd_des,sameAs,Armour,wikipedia_raw_name,161,1,11,71136,1,2147,http://en.wikipedia.org/wiki/Armour,Armour,,/en/armour,/m/0x44
Armored Car Services,nytd_des,sameAs,Armored_car_(valuables),wikipedia_raw_name,162,1,11,71137,1,16267102,http://en.wikipedia.org/wiki/Armored_car_(valuables),Armored car (valuables),,/wikipedia/fr/Fourgon_blind$00E9,/m/03wfhdl
Armories,nytd_des,sameAs,Armory_(military),wikipedia_raw_name,163,1,11,71138,1,289443,http://en.wikipedia.org/wiki/Armory_(military),Armory (military),,/en/armory,/m/01qd6q
"Armory Show, The International Fair of New Art (NYC)",nytd_des,sameAs,The_Armory_Show_(art_fair),wikipedia_raw_name,164,1,11,71139,1,17343938,http://en.wikipedia.org/wiki/The_Armory_Show_(art_fair),The Armory Show (art fair),,/en/the_armory_show,/m/043rr7f
Arms (Body Part),nytd_des,sameAs,Arm,wikipedia_raw_name,165,1,11,71140,1,53238,http://en.wikipedia.org/wiki/Arm,Arm,,/en/arm,/m/0dzf4
