Acids,nytd_des,sameAs,Acid,wikipedia_raw_name,21,1,11,70999,1,fgh456,http://en.wikipedia.org/wiki/Acid,Acid,,
Acne,nytd_des,sameAs,Acne_vulgaris,wikipedia_raw_name,22,1,11,71000,1,fgh456,http://en.wikipedia.org/wiki/Acne_vulgaris,Acne vulgaris,,
Acoustics,nytd_des,sameAs,Acoustics,wikipedia_raw_name,23,1,11,71001,1,fgh456,http://en.wikipedia.org/wiki/Acoustics,Acoustics,,
Actors and Actresses,nytd_des,sameAs,Actor,wikipedia_raw_name,26,1,11,71004,1,fgh456,http://en.wikipedia.org/wiki/Actor,Actor,,
Acupuncture,nytd_des,sameAs,Acupuncture,wikipedia_raw_name,27,1,11,71005,1,fgh456,http://en.wikipedia.org/wiki/Acupuncture,Acupuncture,,
Adhesives,nytd_des,sameAs,Adhesive,wikipedia_raw_name,28,1,11,71006,1,fgh456,http://en.wikipedia.org/wiki/Adhesive,Adhesive,,
Adoptions,nytd_des,sameAs,Adoption,wikipedia_raw_name,30,1,11,71008,1,fgh456,http://en.wikipedia.org/wiki/Adoption,Adoption,,
Adrenal Gland,nytd_des,sameAs,Adrenal_gland,wikipedia_raw_name,31,1,11,71009,1,fgh456,http://en.wikipedia.org/wiki/Adrenal_gland,Adrenal gland,,
Adrenoleukodystrophy (ALD),nytd_des,sameAs,Adrenoleukodystrophy,wikipedia_raw_name,32,1,11,71010,1,fgh456,http://en.wikipedia.org/wiki/Adrenoleukodystrophy,Adrenoleukodystrophy,,
Adult Education,nytd_des,sameAs,Adult_education,wikipedia_raw_name,33,1,11,71011,1,fgh456,http://en.wikipedia.org/wiki/Adult_education,Adult education,,
Adultery,nytd_des,sameAs,Adultery,wikipedia_raw_name,34,1,11,71012,1,fgh456,http://en.wikipedia.org/wiki/Adultery,Adultery,,
